sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,Black,20-24,Cook,Property,Dixon,1120.0,,1461.0,,2019,2019-03-01
Male,Black,35-44,Will,Drug,Sheridan,,,393.0,,2019,2019-01-01
Male,Black,30-34,Sangamon,Public Order,Western Illinois,626.0,,17.0,,2019,2019-03-01
Male,Hispanic,35-44,Cook,Drug,Pontiac,,,244.0,,2019,2019-01-01
Male,Black,45-54,Montgomery,Drug,Taylorville,1897.0,,,,2018,2018-07-01
Male,White,45-54,Cook,Property,Pinckneyville,374.0,,1708.0,,2018,2018-06-01
Male,White,30-34,Williamson,Person,Taylorville,2250.0,,262.0,,2018,2018-05-01
Male,Black,25-29,Winnebago,Public Order,Shawnee,,,127.0,,2018,2018-07-01
Male,Black,35-44,Peoria,Person,Shawnee,,,290.0,,2018,2018-11-01
Male,Black,25-29,Cook,Public Order,Danville,444.0,,,,2018,2018-07-01
Male,White,20-24,Champaign,Property,Dixon,,,450.0,,2018,2018-04-01
Male,Black,25-29,Cook,Public Order,Stateville,1455.0,,,,2018,2018-05-01
Male,White,35-44,Williamson,Person,Vienna,,,89.0,,2024,2024-04-01
Male,Black,20-24,Cook,Public Order,Southwestern Illinois,581.0,,75.0,,2024,2024-02-01
Male,Black,20-24,Cook,Public Order,Stateville,758.0,,,,2023,2023-10-01
Male,Black,35-44,Cook,Public Order,Stateville,761.0,,,,2023,2023-05-01
Female,Hispanic,30-34,Lake,Drug,Logan,1386.0,,,,2019,2019-08-01
Male,Black,30-34,Vermilion,Public Order,Stateville,625.0,,,,2019,2019-08-01
Male,Black,20-24,Winnebago,Person,Stateville,656.0,,265.0,,2019,2019-12-01
Male,Black,30-34,Marion,Person,Graham,,,110.0,,2018,2018-11-01
Male,White,45-54,Morgan,Property,Graham,591.0,,,,2023,2023-09-01
Male,White,45-54,Champaign,Property,Joliet Treatment Center,542.0,,173.0,,2024,2024-02-01
Male,White,30-34,Fulton,Property,Southwestern Illinois,,,,,2024,2024-08-01
Male,White,30-34,Macon,Drug,Robinson,,,,,2024,2024-09-01
Male,Black,30-34,Will,Person,Dixon,,,,,2019,2019-11-01
Male,Hispanic,45-54,Cook,Property,Stateville,,,,,2024,2024-05-01
Male,Black,35-44,Cook,Public Order,Stateville,,,,,2024,2024-03-01
Male,Black,35-44,Cook,Person,Hill,,,,,2024,2024-05-01
Male,White,35-44,McLean,Person,Lincoln,,,,,2024,2024-05-01
Male,Black,35-44,Cook,Property,Dixon,,,,,2024,2024-04-01
Male,Hispanic,45-54,Rock Island,Drug,Peoria ATC,,,,,2024,2024-06-01
Male,Black,30-34,Cook,Property,Stateville,,,,,2024,2024-01-01
Male,Black,30-34,Cook,Person,Hill,,,,,2023,2023-08-01
Male,Hispanic,45-54,Cook,Drug,Sheridan,,,,,2023,2023-07-01
Male,Black,25-29,Cook,Public Order,Pinckneyville,,,,,2023,2023-07-01
Male,Hispanic,25-29,Cook,Public Order,Sheridan,,,,,2023,2023-09-01
Male,White,25-29,Will,Drug,Shawnee,,,,,2023,2023-09-01
Male,Black,45-54,Cook,Person,Taylorville,,,,,2023,2023-02-01
Male,Black,30-34,Peoria,Drug,Danville,,,,,2023,2023-01-01
Male,White,45-54,Christian,Person,Vandalia,,,,,2020,2020-05-01
Female,Black,20-24,Cook,Person,Logan,,,,,2019,2019-10-01
Male,White,25-29,Massac,Person,Jail,,,,,2020,2020-06-01
Male,Black,25-29,Cook,Person,Shawnee,,,,,2019,2019-12-01
Male,White,30-34,Will,Property,Lawrence,,,,,2019,2019-04-01
Male,Black,35-44,Cook,Person,Jacksonville,,,,,2019,2019-03-01
Male,Hispanic,20-24,Cook,Public Order,Vandalia,,,,,2019,2019-04-01
Male,White,25-29,Ogle,Drug,Stateville,,,,,2019,2019-01-01
Male,White,35-44,Coles,Public Order,Centralia,,,,,2019,2019-10-01
Male,Hispanic,30-34,Cook,Person,Pontiac,,,,,2018,2018-07-01
Male,Black,55-64,Cook,Property,Robinson,,,,,2018,2018-09-01
Male,Black,35-44,Sangamon,Public Order,Vandalia,,,,,2018,2018-11-01
Male,Black,30-34,Lake,Public Order,Shawnee,,,,,2018,2018-08-01
Male,Hispanic,30-34,Cook,Public Order,Lincoln,,,,,2018,2018-04-01
Male,White,45-54,Moultrie,Person,Big Muddy River,,,,,2018,2018-04-01
Male,White,45-54,Richland,Person,Big Muddy River,,,,,2018,2018-10-01
Female,White,45-54,Pike,Property,Logan,,,,,2018,2018-09-01
Male,White,20-24,McHenry,Public Order,Pinckneyville,,,,,2018,2018-01-01
Male,White,20-24,Macoupin,Drug,Vienna,,111.0,,,2018,2018-09-01
Male,Black,25-29,Lake,Drug,Pinckneyville,2698.0,315.0,,,2018,2018-07-01
Male,Black,35-44,Cook,Drug,Stateville,846.0,,252.0,,2018,2018-07-01
Male,White,25-29,Montgomery,Public Order,Shawnee,770.0,,280.0,,2022,2022-05-01
Male,White,55-64,Williamson,Person,Menard,1205.0,266.0,958.0,,2021,2021-10-01
Male,White,35-44,White,Person,Menard,,763.0,,,2021,2021-10-01
Male,Black,30-34,Cook,Person,Western Illinois,648.0,,,,2021,2021-07-01
Male,Black,25-29,Cook,Person,Hill,543.0,,1021.0,,2021,2021-11-01
Male,White,30-34,Montgomery,Property,Graham,,,215.0,,2021,2021-07-01
Male,White,35-44,Iroquois,Property,Centralia,889.0,,147.0,,2021,2021-03-01
Male,Black,25-29,Cook,Person,Stateville,1034.0,,230.0,,2021,2021-01-01
Male,White,45-54,Cook,Person,Hill,133.0,,796.0,,2021,2021-01-01
